points,settlement1,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,settlement2,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,production,win
10,6,W,9,O,10,O,8,W,10,L,0,2L,60,1
7,6,S,9,W,3,L,8,O,10,C,0,3G,47,0
7,5,C,6,L,11,O,8,S,3,C,0,3G,64,0
8,6,W,9,S,10,O,8,S,10,L,0,2S,70,0
6,5,L,6,S,11,W,8,O,10,C,0,3G,35,0
7,5,O,8,O,10,W,4,C,11,L,0,2O,41,0
6,6,W,4,L,3,O,8,W,4,C,0,3G,39,0
6,5,O,9,S,10,W,6,C,2,W,0,2O,37,0
6,4,S,6,O,11,O,6,W,2,W,0,2W,33,0
6,8,C,4,W,0,2S,5,L,6,S,12,S,47,0
7,8,L,10,L,3,S,6,O,2,S,0,3G,22,0
9,8,C,4,L,0,3G,5,L,9,W,10,S,62,0
4,5,O,6,S,11,C,8,C,10,S,0,2O,43,0
4,5,S,8,S,10,W,6,C,2,L,0,2S,30,0
4,9,L,10,S,0,2S,8,L,4,W,3,L,38,0
6,5,C,8,W,10,S,9,L,10,O,0,2L,35,0
5,6,S,2,L,0,2W,4,W,9,W,11,O,35,0
4,8,O,4,O,3,S,9,W,12,W,0,2O,24,0
10,8,O,10,W,0,2S,5,S,6,S,11,L,46,1
7,6,S,3,S,0,2L,8,O,4,L,3,L,87,0
6,5,L,8,S,10,W,8,C,10,L,0,2W,55,0
6,6,C,9,W,10,L,8,O,4,L,0,2C,44,0
6,5,C,8,C,10,L,9,W,10,O,0,2C,46,0
8,8,C,10,S,0,3G,4,W,8,L,10,W,55,0
11,5,L,6,L,9,O,6,S,2,C,0,2L,72,1
7,5,W,8,O,10,O,6,C,2,S,0,3G,50,0
6,5,S,9,C,10,L,6,O,2,S,0,2C,38,0
10,9,S,10,O,0,2S,5,S,8,S,10,W,59,1
6,8,W,10,W,0,D,8,W,10,O,0,3G,40,0
10,4,W,8,C,10,L,6,L,2,S,0,3G,60,1
5,5,O,8,W,10,W,8,C,4,S,0,3G,36,0
10,4,O,9,W,11,S,9,S,10,W,0,2S,46,1
5,5,C,9,W,10,O,8,W,4,C,0,2O,32,0
4,8,W,4,L,3,O,9,W,10,W,0,2W,29,0
